variable1,variable2,variable3,variable4,variable5,variable6,variable7,variable8,variable9,variable10,variable11,variable12,variable13,variable14,variable15,variable17,variable18,variable19,classLabel
a,"17,92","5,4e-05",u,g,c,v,"1,75",f,t,1,t,g,80,5,800000,t,0,no.
b,"16,92","3,35e-05",y,p,k,v,"0,29",f,f,0,f,s,200,0,2000000,NA,0,no.
b,"31,25",1125,u,g,ff,ff,0,f,t,1,f,g,96,19,960000,t,0,no.
a,"48,17",1335,u,g,i,o,335,f,f,0,f,g,0,120,0,NA,0,no.
b,"32,33",35,u,g,k,v,"0,5",f,f,0,t,g,232,0,2320000,f,0,no.
a,"34,83",125,y,p,i,h,"0,5",f,f,0,t,g,160,0,1600000,f,0,no.
a,"26,17",0.0002,u,g,j,j,0,f,f,0,t,g,276,1,2760000,NA,0,no.
b,"21,17","8,75e-05",y,p,c,h,"0,25",f,f,0,f,g,280,204,2800000,NA,0,no.
b,"28,92","3,75e-05",u,g,c,v,"0,29",f,f,0,f,g,220,140,2200000,NA,0,no.
b,"18,17",1025,u,g,c,h,1085,f,f,0,f,g,320,13,3200000,NA,0,no.
a,"24,75",13665,u,g,q,h,"1,5",f,f,0,f,g,280,1,2800000,f,0,no.
a,"31,75",0.0003,y,p,j,j,0,f,f,0,f,g,160,20,1600000,f,0,no.
a,"18,17",1,y,p,q,h,165,f,f,0,f,g,340,0,3400000,f,0,no.
a,"18,25",1,u,g,W,v,1,f,t,1,f,g,120,1,1200000,NA,0,no.
b,"17,58",1,u,g,W,h,165,f,t,1,f,g,120,1,1200000,t,0,no.
b,"51,83",204,y,p,ff,ff,"1,5",f,f,0,f,g,120,1,1200000,NA,0,no.
b,"26,67",14585,u,g,i,bb,0,f,f,0,t,g,178,0,1780000,f,0,no.
b,"31,42",155,u,g,c,v,"0,5",t,f,0,f,g,120,0,1200000,f,0,no.
b,"25,67",325,u,g,c,h,"2,29",f,t,1,t,g,416,21,4160000,t,0,no.
b,"33,75",275,u,g,i,bb,0,f,f,0,f,g,180,0,1800000,f,0,no.
b,"32,75",2335,u,g,d,h,"5,75",f,f,0,t,g,292,0,2920000,f,0,no.
b,"39,83",0.00005,u,g,m,v,"0,25",t,f,0,f,s,288,0,2880000,NA,0,no.
a,"40,33",8125,y,p,k,v,165,f,t,2,f,g,NA,18,NA,NA,0,no.
b,"35,25",165,y,p,c,v,4,t,f,0,f,g,80,0,800000,NA,0,no.
